timestamp,price,signal
2026-07-08T20:44:37.033Z,1736.82568683,NEUTRE
2026-07-08T20:45:07.489Z,1736.82568683,NEUTRE
2026-07-08T20:45:37.487Z,1736.82568683,NEUTRE
2026-07-08T20:46:07.694Z,1736.82568683,NEUTRE
2026-07-08T20:46:37.499Z,1736.82568683,NEUTRE
2026-07-08T20:47:07.498Z,1736.82568683,NEUTRE
2026-07-08T20:47:37.498Z,1736.82568683,NEUTRE
2026-07-08T20:48:07.603Z,1736.82568683,NEUTRE
2026-07-08T20:48:37.709Z,1736.82568683,NEUTRE
2026-07-08T20:49:07.714Z,1736.82568683,NEUTRE
2026-07-08T20:49:37.750Z,1736.82568683,NEUTRE
2026-07-08T20:50:07.622Z,1736.82568683,NEUTRE
2026-07-08T20:50:37.727Z,1736.82568683,NEUTRE
2026-07-08T20:51:07.619Z,1736.82568683,NEUTRE
2026-07-08T20:51:37.729Z,1736.82568683,NEUTRE
2026-07-08T20:52:07.626Z,1736.82568683,NEUTRE
2026-07-08T20:52:37.731Z,1736.82568683,NEUTRE
2026-07-08T20:53:07.736Z,1736.82568683,NEUTRE
2026-07-08T20:53:37.839Z,1736.82568683,NEUTRE
2026-07-08T20:54:07.946Z,1736.82568683,NEUTRE
2026-07-08T20:54:37.687Z,1736.82568683,NEUTRE
2026-07-08T20:55:07.746Z,1736.82568683,NEUTRE
2026-07-08T20:55:37.799Z,1736.82568683,NEUTRE
2026-07-08T20:56:07.855Z,1736.82568683,NEUTRE
2026-07-08T20:56:37.857Z,1734.4789,NEUTRE
2026-07-08T20:57:08.166Z,1734.4789,NEUTRE
2026-07-08T20:57:38.174Z,1734.4789,NEUTRE
2026-07-09T17:20:14.974Z,1739.78228085,NEUTRE
2026-07-09T17:20:45.403Z,1739.78228085,NEUTRE
2026-07-09T17:32:56.594Z,1739.78228085,NEUTRE
2026-07-09T17:33:06.891Z,1739.78228085,NEUTRE
2026-07-09T17:33:16.919Z,1739.78228085,NEUTRE
2026-07-09T17:33:26.955Z,1739.78228085,NEUTRE
2026-07-09T17:33:37.500Z,1739.78228085,NEUTRE
2026-07-09T17:33:47.045Z,1739.78228085,NEUTRE
2026-07-09T17:33:56.908Z,1739.78228085,NEUTRE
2026-07-09T17:34:09.579Z,1739.78228085,NEUTRE
2026-07-09T17:34:17.029Z,1739.78228085,NEUTRE
2026-07-09T17:34:26.978Z,1739.78228085,NEUTRE
2026-07-09T17:34:36.995Z,1739.78228085,NEUTRE
2026-07-09T17:34:47.031Z,1739.78228085,NEUTRE
2026-07-09T17:34:57.017Z,1739.78228085,NEUTRE
2026-07-09T17:35:07.205Z,1739.78228085,NEUTRE
2026-07-09T17:35:17.041Z,1739.78228085,NEUTRE
2026-07-09T17:35:27.068Z,1739.78228085,NEUTRE
2026-07-09T17:35:37.103Z,1739.78228085,NEUTRE
